porti|携带
glui|糊\n胶合\n黏贴\n粘合
gluilo|浆糊\n胶
gluo|浆糊\n胶\n胶水
gluteco|屁股
gluteo|臀部
gluti|吞\n吞没\n咽
golejo|球门
golfludo|高尔夫球
golfo|海湾\n湾
golofo|高尔夫球
golulo|守门员
gongo|锣\n铜锣
goo|围棋
gorgho|喉\n嗓子\n峡\n咽喉
gorgvojo|险隘
gorilo|大猩猩
gracia|苗条\n秀美\n秀气\n窈窕\n优美的\n优雅的\n幽雅
graco|恩典
grado|程度\n等级\n度\n刻度
grafito|石墨
grafo|伯爵
grajno|颗粒\n粒
gramatikisto|文法家\n语法学家
gramatiko|文法\n语法
gramofono|唱机\n电唱机\n留声机
granato|石榴
granda|大\n浩大\n巨大\n宽敞\n伟大\n要人\n重大的
granda aspiro|壮志
granda demokratio|大民主
granda evento|大事
granda flukto|硕果
granda ghojo|大喜
Granda Kanalo|大运河
granda kunveno|盛会
granda kvanto|大量
Granda Muro|长城
granda nombro|大量
granda persono|大人物\n伟人
granda plimulto|大多数
granda skalo|大规模
granda sukccso|硕果
granda verkisto|文豪
grandagha|高龄\n年迈
grandanima|大度\n宽宏大量
grandanimeco|大量
grandeguIo|巨人
grandigi|放大
grandioza|宏大\n宏伟\n盛大\n伟大\n雄伟\n壮观\n壮丽
grandiozeco|堂皇
grandkvanta|许多
grandnombra|许多
grandpashe|阔步
grandsinjoro|老爷\n显贵
grandulo|显贵
granita|顽固
granito|花岗岩
grapolo|一串
grasa|肥\n肥胖\n肥沃\n胖
graso|油脂\n脂肪
gratajho|搔痕\n抓痕
grati|搔\n抓
gratula parolo|祝词
gratuli|恭贺\n庆贺\n祝贺
gratulo|贺词
gratvundi|抓伤
grava|紧要\n严重\n重大的\n主要的
grava afero|大事
grava elemento|要素
grava krimulo|要犯
grava malsano|重病
grava novajho|要闻
grava posteno|要职
grave|要紧
graveco|重要性
gravedeco|妊娠
gravedighi|怀孕\n受胎
gravedulino|孕妇
gravito|引力\n重力
gravulo|要人
gravuri|雕刻\n刻
gravuri en la koro|牢记
gravuri en memoro|铭记
gravuristo|雕刻家
grefti|嫁接\n接枝
grego|牧群\n群\n牲口\n兽群
greko|希腊人
grenadisto|掷弹手
grenado|手榴弹
grenato|红宝石\n石榴石
grenco|粮食
grenejo|谷仓\n粮仓
greno|谷物\n食粮
grenvendejo|粮店
gresejo|牧场
greso|草\n草料\n饲草\n饲料
grifelo|石笔
griigi|碾
grilo|蛐蛐儿\n蟋蟀
grimaco|怪相\n鬼脸
grimpi|爬\n攀登
grimpoplanto|攀缘植物\n藤蔓植物
gripo|流感\n流行性感冒
griteska|可笑
griza|灰色
grizhara|花白
grosho|钱币
groteska|奇怪
groto|穴\n岩洞\n岩穴
grumbli|抱怨\n发牢骚\n发怨言\n埋怨
grumblo|牢骚\n怨言
grunda servo|地勤
grundo|地\n泥土\n土壤
gruni|猪叫
gruntbovo|耗牛
gruo|吊车\n鹤\n起重机
grupo|班\n群\n团体\n小组\n组
gruzo|砾石\n砂砾\n碎石
guano|鸟粪
guasho|水粉画
guberniestro|县长
gubernio|县
guii|凝结
gumo|胶\n树胶
gusho|豆荚
gustigi|调味
gusto|口味\n趣味\n味\n滋味
gustumi|尝\n品尝
gute|一点一滴
guti|滴答
guto|滴
guto post guto|一点一滴
gutujo|排水管
guvernist(in)o|家庭教师
gvardiano|卫兵
gvardio|近卫军\n卫队
gvati|监视\n侦察
gvatisto|岗哨
gvatturo|了望楼\n谯楼
gvida organo|领导机关
gvida pulio|导轮
gvidantaro|领导班子
gvidanteco|领导权
gvidanto|领袖
gvidi|带领\n领导\n领路\n率领\n引导\n指导\n指挥\n指引
gvidisto|导游\n向导
gvidlibro|旅行指南\n指南
gvidmarko|路标
hajli|下冰雹
hajlo|雹子\n冰雹
haki|砍\n劈
hakilo|斧头\n砍刀\n劈刀
haktranchilo|砍刀
haladzo|臭气\n恶臭
halfo|中锋
halo|大厅\n殿\n礼堂\n厅
haltadi|停留
haltejo|停车站\n停留处
halterlevo|举重
haltero|哑铃
halti|逗留\n停\n停顿\n停止\n止步
halti duonvoje|半途而废
haltigi|杜绝\n止住\n制止
haltigi sangelfluon|止血
haltigilo|制动器
haltostreko|破折号
halucinacio|幻觉
halucino|幻觉
hamako|吊床
han-nacio|汉族
hana lingvo|汉语
handikapulo|残废
hano|汉人
haoso|动乱
hararangho|发型
hararo|头发
hardi|锻炼\n磨练
harditeco|硬度
hardvaro|硬件
harego|刚毛\n鬃毛
harligo|辫子
harmoniigi|调和\n协调
harmoniko|手风琴
harmonio|和睦\n和谐\n融洽\n谐和
haro|毛
harpinglo|发针
harplektajho|辫子
harpo|竖琴
hartubero|发鬃
hasta|急忙
haste|仓促\n匆促\n匆忙\n慌忙
hasti|赶快
havajho|家当\n所有物\n资财\n资产
haveno|港口\n海港\n口岸
havi|持有\n具有\n一无所有\n有
havi ferion|放假
havi lertan langon|能说会道
havjho|财产
hawbizo|榴弹炮\n山炮
hawtdejhetado|蜕皮
hawtero|皮屑
hawtinflamo|皮炎
hawto|皮\n皮肤
hazarda|偶然
hazarde|偶而
hazardludo|赌\n赌钱
hazardo|幸运
hebreo|希伯来人
hegemoniismo|霸权主义
hegemonio|霸权
hegho|篱笆\n树篱\n围篱
hejmaj laboroj|家务
hejmama|恋家
hejme|在家
hejmlando|家乡
hejmloko|故乡\n家乡\n乡里
hejmo|家
hejmosida|恋家
hejmsopiro|怀乡病\n思乡
hejmtasko|功课
hejmveo|怀乡病\n思乡
hejtajho|燃料
hejti|加热\n烧热
hejtisto|司炉
hektaro|公顷
hela|光辉\n光亮\n明亮\n睛朗
hela kaj bela|明媚
heleno|希腊人
helianto|葵花\n向日葵
heligi|照亮
heliko|蜗牛
helikoptelo|直升飞机
helikso|耳轮
help-trupo|救兵
helpanto|助手
helpe de|借助于
helpi|成全\n扶持\n协助\n援救\n援助\n支援
helpisto|副手
helpo|帮助
hematito|赤铁矿
hemikranio|偏头痛
hemiplegio|偏瘫
hemoglobino|血红蛋白
hemoragio|出血
hemostazo|止血
heni|马嘶\n嘶
hepata kancero|肝癌
hepatito|肝炎
hepato|肝
herbacho|毒草\n野草
herbaro|草地
herbejo|草地\n草原
herbicido|除草醚
herbo|草
herbokarpo|草鱼
herbokovro|草地
hereda|家传\n世袭
heredajho|继承物\n遗产
heredanto|继承人
heredeco|遗传
heredi|继承
hereza|邪恶
herezo|邪教\n异端
herezulo|邪教徒\n异教徒
hermafrodita|雌雄同体
hermetika|密封
heroa|豪迈
heroa spirito|英雄气概
heroeco|英雄气概
heroo|豪杰\n好汉\n英雄\n勇士\n主人公
heziti|迟疑\n踌躇\n徘徊\n彷惶\n犹豫
heziti paroli|吞吞吐吐
hhaosa|乱
hhaoso|混乱\n紊乱
hhelonio|海龟
hhimerkastelo|空中楼阁
hhirurgio|外科
hhirurgo|外科医生
hhoro|大合唱\n合唱
hiacinto|洋水仙
hibrida besto|杂交动物
hibrida planto|杂交植物
hibridigi|杂交
hibrido|杂种
hidrargo|汞\n水银
hidrawlika|水力
hidrawlika premo|水压\n液压
hidrawliko|水力学
hidrodinamiko|流体力学
hidroelektra stacio|水力发电站
hidroelektrejo|水电站\n水力发电站
hidrogenbombo|氢弹
hidrologia mezurado|水文测量
hidrologio|水文学
hidroplano|水上飞机
hidropso|水肿
hidroterapio|水疗法
hidrotubino|水轮机
hieraw|昨天
higiena papero|草纸\n手纸
higieno|卫生
himno|圣歌\n颂歌\n赞美歌
hipermetropa|远视
hipertensio|高血压
hipnotismo|催眠术
hipnotizi|催眠
hipodromo|跑马场
hipokrita|假惺惺\n虚伪
hipokritulo|伪君子
hipoktita|伪善
hipopotamo|河马
hipoteki|抵押
hipotezi|臆断
hirta|乱莲蓬\n直立的
hirtigi|竖起
hirundo|燕子
hisi flagon|升旗
hispitalo|医院
histerio|歇斯底里\n癔病
histo|组织
historia heredajho|历史遗产
historia ideismo|历史唯心主义
historia loko|古迹
historia materiismo|历史唯物主义
historia muzeo|历史博物馆
historia objekto (restajho)|文物
historia scienco|史学
historiaj faktoj|史实
historiaj materialoj|史料
historiaj notoj|史话
historiaj restajhoj|遗迹
historio|故事\n历史\n史册
histriono|小丑
hobojo|双簧管
hodiaw|今天\n现今\n现在
hoki|钓
hoko|钩
hoko de ankro|锚爪
holdo|船舱\n货舱
holero|霍乱
holoturio|海参
hom-fojo|人次
homa korbo|人体
homa korpo|肌体\n肉体
homa mondo|人间
homa rilato|人缘
homa vivo|人生
homaj rajtoj|人权
homama|仁爱
homamo|博爱\n人类爱
homaranismo|人类一员主义
homaro|人类
homo|人
homo de granda kontribuo|元勋
honesta|诚实\n纯朴\n刚正\n正当的\n正派的\n正直的\n忠诚\n忠厚
honesta homo|老实人
honesta kaj malkashema|梗直
honesteco en la lastaj jaroj|晚节
honestulo|君子
honora|荣耀\n尊贵
honora gasto|贵宾\n上宾
honora gvardio|仪仗队
honorario|酬金
honorinda|尊贵
honoro|光荣\n名誉\n名誉\n荣誉\n体面
hontema|羞怯
honti|惭愧\n害羞
hontinda|可耻
hontindajho|羞耻
honto|羞耻
horaro|时间表
hordeo|大麦
hordo|伙\n游牧部落
horizontala|横\n水平
horizontala ebeno|水平面
horizonto|地平线\n水平线\n天边
horlibro|时间表
horloghisto|钟表匠
horlogho|表\n时钟\n钟\n钟表
hormono|激素
hormontrilo|时针
horo|时刻\n小时\n钟点
horora|可怕
hororo|恐怖
hortikulturo|园艺
hotelo|旅馆
huffero|马掌
hufo|腕
hufumo|马掌
huligano|流氓
humana|仁慈
humaneco|人道\n善心
humanismo|人道主义\n人文主义\n人性
humanisto|人道主义者\n人文主义者\n人性学者
humida|潮湿\n湿\n湿润
humideco|湿度
humila|谦逊\n温顺\n下贱\n自卑
humilighi|屈服
humiligho|屈辱
humiligi|凌辱\n欺负\n污辱\n羞辱
humiligo|耻辱
humoro|气质\n情绪\n心情
humura|滑稽
humurajho|笑话
humuro|风趣\n诙谐\n幽默
hundo|狗\n犬
huno|匈奴
huntuno|馄饨
hurai|欢呼
hurli|嚎叫\n狼叫\n怒吼
ia|某样\n某种
iam|曾经\n某时\n有时
iam delonge|早已
iama|以前
idaro|子孙
idealo|理想\n志愿
ideismo|唯心论\n唯心主义
ideisto|唯心主义者
identa|同样\n同一\n相同
identeco|身分
ideo|观念\n念头\n思想\n想法
ideologio|观念形态\n思想\n意识形态
idilio|牧歌\n田园诗
idiomajho|习惯语
idiota|傻\n愚蠢
idiotismo|习惯语
idioto|白痴\n笨蛋\n蠢人\n呆子\n傻瓜
ido|雏\n后代\n后裔\n主意\n子
idoladorado|偶像祟拜
idolano|偶象崇拜者
idolkult-olservo|偶像祟拜
idolo|偶像
iel|某样地
ies lastaj vortoj|遗言
igi|束缚
ignori|不理\n忽视\n漠视
ikono|圣像
iktero|黄疸病
ilaro|用具
ili|他们
ilicio|八角
ilmashino|机床
ilo|工具\n用具
ilumini|张灯结彩
ilustrajho|插图
iluziisto|魔术家
iluzio|错觉\n幻梦\n幻想\n幻影
imaga|虚拟
imagado|想像力
imagemo|想像力
imagi|设想\n想象\n意想
imaginaro|虚数
imagipovo|想像力
imago|假想\n想像力
imamo|阿訇
imiti|仿效\n摹仿
imperativo|命令式
imperiestra edikto|圣旨
imperiestra edzino|皇后
imperiestra familio|皇家\n皇室
imperiestra palaco|皇宫\n王宫
imperiestra parenco|皇族
imperiestra patrino|皇太后\n太后
imperiestro|皇帝\n君王
imperiismo|帝国主义
imperio|帝国
impertinenta|鲁莽\n无礼
impeta|急剧
impeti|飞跃\n跳跃\n突进\n跃进
implici|含蓄
implika|困难
impliki|纠缠\n卷入\n连累\n牵连
impona|显赫\n雄伟
imponeco|堂皇\n威望
importa kaj eksporta kompanio|进出口公司
importi|进口\n输入
impostburoo|税务局
impostevitado|偷税
imposti|征税
impostisto|税务员\n征税员
imposto|捐税\n税\n租税
impozi|排版
impresi|感光
impresionismo|印象派\n印象主义
impreso|感想\n观感\n印象
improvize|即席
improvizisto|即兴诗人
impulso|冲动
imulo|祸首
imuna|免疫
imuneco|特免权
inawguri|揭幕\n开幕
incendio|大火\n火灾\n失火
incensi|焚香\n烧香
incensujo|香炉
incesti|乱伦
incidento|事端\n事件
inciti|刺激\n激怒\n激起\n惹起\n调唆
incizivo|门牙
indekso|索引
indi|值得
indiano|印第安人
indicnombro|指数
indico|迹象\n指数
indiferenta|冷淡\n冷漠\n无动于衷
indiferente trakti|漠视
indigna flamo|怒火
indigni|愤慨
indignigi|激怒
indigno|恼怒\n气愤
indiki|表明\n表示\n指明
indikita prezo|标价
indiko|指示
individua ekonomio|个体经济
individua heroismo|个人英雄主义
individueco|个性
individuismo|个人主义
individuo|个人\n个体
indukti|感应
indulgema|宽厚\n仁厚
indulgema traktado|宽大处理
indulgi|姑息\n宽容\n宽恕\n饶恕\n赦免\n赦罪\n纵容
industria laboristo|产业工人
industria rondo|产业界
industriisto|实业家
industrio|产业\n工业
industrio kaj komerco|工商业
inercio|惰性\n惯量\n惯性
inerta|迟钝
infana|天真\n幼稚
infana kanto|儿歌
infana paralizo|小儿麻痹症
infanagho|童年
infanago|幼年
infaneco|童年\n幼年
infaneto|幼儿
infanghardeno|幼儿园
infanistino|保姆
infano|儿童\n孩子\n小儿
infanteriano|步兵
infanvartejo|托儿所
infekti|传染\n感染
infektighi|沾染
infero|地狱
infinitezimo|无限小
infinitivo|不定式
infinito|无限大
inflacio|通货膨胀
inflami|发炎
influa|有影响
influi|影响
influsfero|势力范围
informi|奉告\n告诉\n通知
informighi|知道
informilo|通知单
informo|情报\n消息\n信息
informo pri venko|捷报
infrarugha radio|红外线
infuzajho|浸剂
infuzi|泡茶\n沏
ingheniero|工程师
inhibicii|抑制
iniciatemo|首创精神
iniciati|倡导\n发起\n开创\n兴办
iniciatinto|奠基人
iniciativo|能动性\n首创精神
injektajho|针剂\n注射剂
injekti|打针\n注射
injektilo|注射器
inklini|倾心
inklino|倾向
inkluzivi|旬括
inko|墨水
inkrubando|打字带
inkrusti|镶嵌
inkubsongho|恶梦
inokuli|灌输\n接枝\n接种\n种痘
insekticido|农药\n杀虫剂
insekto|虫\n昆虫
insidema|奸诈\n阴险的
insidi|暗害\n暗算\n陷害
insido en la ridoj|笑里藏刀
insigno|徽章\n纪念章
insigno sur chapelo|帽徽
insiste|执意
insisti|坚持
inslti|辱骂
inspekti|视察\n巡视
inspiri|鼓舞\n启示
inspiro|灵感
instalajho|设备\n设施\n装置
instali|安装\n设置
instanco|当局
instepo|脚背
instigi|鼓动\n教唆\n唆使\n指使
instigi perfidon|策反
instinkto|本能
institucio|机构\n机关
instituto|大学\n学会\n学院\n研究院
instrkcio|训令
instrua|有教育意义\n有益
instrua materialo|讲义\n教材
instrua plano|教案
instruado|教学
instrui|传授\n讲课\n教\n教导
instrui per vortoj|言教
instruista lernejo|师范学校
instruisto|导师\n教师\n教员\n老师\n师\n先生
instruiteco|学识\n学问
instruitulo|秀才\n有学问的人
instrukcii|发令
instrukcio|指令\n指示
instrumenta muziko|器乐
instrumento|工具\n器具\n器械\n仪器
instruo|教训\n训诲
insularo|群岛
insulino|胰岛素
insulo|岛\n海岛
insuloj|岛屿
insulti|骂\n咒骂
integra cirkvito|集成电路
integreco|完整性
intelekta eduko|智育
intelekto|智力
intelektulo|知识分子
inteligenta|聪明\n聪颖\n懂事\n巧妙\n有才智
inteligenteco|理性
inteligento|智慧
intenca|故意\n有意
intence|成心
intenci|打算\n企图\n试图\n妄图\n妄想\n想\n蓄意
intenco|居心\n用意
intensa|激烈\n紧张\n强烈
intenseco|强度
intensigi|加紧\n加剧\n加强
inter|其中
interakto|幕间
interalie|其中
interbatali|打架\n混战
interedzigho|通婚
interesa|有趣
intereso|爱好\n趣味\n兴趣
interesoj|利益
interesoplena|有意思
interezo|利息
interflui|交流
interhelpa grupo|互助组
interhelpi|互助
interjekcio|叹词
interkolono|跨度
interkomprenighi|相互了解
interkomuniki|相通
interkonsenti|约定
interkonsentite|商定
interkonsento|协定\n协议
interkonsento de reciproka helpo|互助协定
interkonsilighi|磋商\n商量\n商议\n相商\n协商\n研讨
interkosento|议定书
interkrucighi|交错
interligi|连接
interligo|盟约
interludo|过场\n间奏曲
intermeti|插嘴
intermeti(vorton)|插话
intermito|间歇期
intermonto|山谷
intermuro|间壁
interna|里面\n内部
interna afero|内政
interna kawzo|内因
interna konflikto|内讧
interna lando|内地
interna maro|内悔
interna milito|内战
interna rivero|内河
interna sekrecio|内分泌
interna shuldo|内债
interna spiono|内奸
interna splitigho|内部分化
internacia|国际
internacia labordivido|国际分工
internaciismo|国际主义
internajhoj|内脏
interne|里边
interpacigi|调解
interparoli|交谈\n谈心
interparolo|会话\n会谈
interpishighi|拥挤
interplekti|交织
interpremi|挤
interpreti|翻译\n解释\n口译\n说明
interpretisto|译员
interpunkcio|标点
interrilatoj|相互关系
interrompi|打岔\n打断\n掐断\n中断\n中止
intershangh-valoro|交换价值
intershanghi|交换\n交流
intershanghi opiniojn|商谈
intershangi|互换
interspaco|间隙\n距离
intertrakti|会谈
intervalo|音程
interveni|参与\n插嘴\n干涉\n介入
intervidighi|会见\n会晤
intervidigho|见面
intervjui|采访\n走访
intervjuisto|记者
intervolvi|纠缠
intesta perforado|肠穿孔
intesto|肠
intima|密切\n亲密\n亲切\n贴心\n知心的
intima amiko|密友\n知己
intimulo|密友
intrige agi unu kontraw alia|勾心斗角
intrigi|密谋
intrigo|情节\n阴谋诡计\n政治阴谋
introspekto|反省
inttospekto|内省
intuicio|直觉
inundi|泛滥\n水淹\n淹没
inundo|洪水\n涝\n水灾
invadanto|寇
invadi|强占\n侵犯\n侵略\n侵入
invadi kaj okupi|侵占
invalido|残废
inventi|发明
inversa|相反
inversigi|倒\n颠倒
inversigo de justeco kaj maljusteco|颠倒是非
inversiri|逆行
investi|任命\n投资\n委任
inviti|聘请\n邀请\n约请
invitilo|请柬
invitite|应邀
invitkarto|请柬
iom|稍微\n一点儿\n一些\n有点儿\n有些
iom da tempo|一会儿
iom post iom|渐渐地\n逐渐
irado|行程
irbastonoj|高院
irejo|通路
iri|进行\n去\n行走\n走\n走动
iri al laboro|出工\n上班
iri al lernejo|上学
iri al milito|出征
iri al necesejo|解手
iri al strato|上街
iri ekzamenighi|应考
iri rekte al|直达
irigacia kaj drena pumpstacio|排灌站
irigacia kanaleto|沟渠
irigaciata kampo|水浇地
irigacii|灌溉
irigi|开动\n推动
ironio|讽刺\n讥讽
islamano|伊斯兰教徒
islamismo|伊斯兰教
islamo|回教\n伊斯兰教
ismo|主义
istmo|地峡
iu|某个\n某人
izoli|隔离\n孤立\n绝缘
izolilo|绝缘体
izolita|偏僻
izolita loko|僻壤
izolita trupo(armeo)|孤军
izotopo|同位素
ja|果然\n确实
jada skulptajho|玉雕
jadajho|玉器
jado|玉\n玉石
jako|夹克衫\n上衣
jam|已经
januaro|一月
jara interezo|年息
jarcento|百年\n世纪
jardungito|长工
jarfino|年终
jarkvarono|季度
jarlibro|年鉴
jaro|年\n岁
jaroj|年代\n岁月
jaron post jaro|逐年
jarringo|年轮
jaspo|碧玉
jene|下列
jes|是
jesi|同意
jesi bushe，sed nei kore|口是心非
Jesuo|耶稣
jeto|喷气飞机
jhaluzema|好嫉妒
jhaluzi|吃醋\n妒忌\n嫉妒\n忌妒
jhaluzio|百叶窗
jhargono|行话
jhawdo|星期四
jhazo|爵士音乐
jherzo|毛衣
jhet-kubo|骰子
jhetglobo|铅球
jheti|抛\n扔\n摔\n投\n投射\n投掷
jheti ankron|抛锚
jheti grenadon|投弹
jheti sin en|投身
jhetlanco|标枪
jhipo|吉普车
jhnglajho|把戏
jhonglado|戏法
jhongli|变戏法\n耍把戏
jhuralo|日报
jhuri|发誓\n宣誓
jhurligi|誓约联盟\n宣誓结盟
jhurnalismo|新闻业
jhurnalistiko|新闻学
jhurnalisto|记者\n新闻记者
jhurnalo|报纸
jhuro|誓词\n誓言
jhurpeti|誓求
jhurpromeso|许愿
jhurrompi|毁约
jhurrumpi|背信弃义
jhus|刚才
joda tinkturo|碘酒
jono|离子
ju pli…|越…越…
judismo|犹太教
judo|犹太人
jughanto|裁判员
jughdecidi|判决
jughdecido|判决书
jughejo|法院\n审判厅
jughfari|审判
jughfaro|审理
jughi|裁决\n裁判\n鉴定\n判定\n判断\n评判\n审查\n审判
jughisto|裁判员\n法官\n审判员\n推事
jughopovo|权限\n司法权
jugi|奴役\n束缚\n支配
juglando|核桃
jugo|钝\n咖锁
jujubo|枣
juki|发痒\n痒痒
julio|七月
julo|橹
juna|娇嫩\n年轻\n少壮
juna cervokorno|鹿茸
juneco|青春\n朝气
jungi|驾驭
jungilaro|轭具\n挽具
junio|六月
junpioniro|少先队员
junulo|年轻人\n青年
jupo|裙子
jurisdikcio|司法权
juro|法律学
jurto|帐篷
justa|公平\n公正\n有理\n正义
justa indigno|义愤
justa kaj honesta|光明正大
justica sistemo|司核制度
justico|司法
juto|黄麻
juvelisto|宝石商
juvelo|宝石\n珍宝\n珠宝
juvelshtono|宝石
kabano|茅舍
kabineto|办公室\n内阁\n书房
kablo|电缆\n缆绳\n索\n铁索
kablocharo|缆车
kablotramo|缆车
kabo|地角\n岬角
kacho|糊\n粥
kaco|阴茎
kadavrejo|太平间
kadavro|尸体\n死尸
kadri|加框子
kadro|边框\n范围\n干部\n框子
kaduka|衰老
kadukeco|龙钟
kafarbo|咖啡树
kafeino|咖啡硷
kafejo|咖啡店
kafo|咖啡
kafujo|咖啡树
kagho|笼子
kahelo|瓷砖
kaj|并且
kaj tiel plu|等等
kajero|笔记本\n册子\n分册\n练习簿
kajo|码头\n月台
kajto|风筝
kajuto|舱\n船舱\n机舱
kakao|可可
kakio|咔叽
kakto|仙人掌
kalabaso|葫芦
kalcio|钙
kaldronkrusto|水碱
kaldrono|锅
kalejdoskopo|万花筒
kalendaro|历法\n日历\n月份牌\n月历
kaleshisto|马车夫
kalesho|四轮马车
kalia sterko|钾肥
kalibro|口径
kaligrano|书法
kaliko|圣餐杯
kalimnii|污蔑
kalio|钾
kalkano|脚后跟
kalkansidi|蹲
kalkanumo|后跟
kalkargilo|石灰泥
kalki|粉刷\n抹石灰
kalko|石灰
kalkolakto|石灰浆
kalkuli|合计\n计数\n计算\n盘算\n数\n算\n算帐
kalkuli konton|算帐
kalkulilo|计算机
kalkulo|帐
kalkultabelo|计算表
kalkuluso|结石
kalo|鸡眼\n茧
kalorio|卡路里
kalsoneto|三角裤
kalsono|衬裤\n裤权
kalumnii|诋毁\n诽谤\n毁谤\n诬告\n诬蔑\n中伤
kalva|光秃\n秃\n秃顶
kamarado|伙伴\n同伴\n同事\n同志
kamelio|茶花\n山茶花
kamelo|骆驼
kameno|壁炉
kamentubo|烟囱
kamera lenso|镜头
kamerao|电影摄影机\n摄影机
kamero|暗室\n暗箱
kamfooro|樟脑
kamforarbo|樟木
kamforbulo|樟脑丸
kamiono|货车\n卡车\n载重汽车
kamloto|羽纱
kampadejo|宿营地\n营地
kampadi|安营扎寨\n露营\n野营\n扎营
kampanjo|运动\n战役
kamparana familio|农家
kamparana movado|农民运动
kamparanaro|农民阶级
kamparano|老乡\n农夫\n乡下人
kamparo|农村\n乡下\n原野
kampfajro|篝火
kampista familio|农家
kampisto|农夫\n农民
kamplaboro|农活
kampo|场地\n农田\n田地\n田野
kamponmuso|田鼠
kampora poshtisto|乡邮
kamporano|农民
kampulo|农夫\n农民\n乡下人
kamufli|伪装
kanabo|大麻
kanajlo|恶棍\n流氓\n无赖
kanaleto|沟渠
kanalo|渠道\n水渠\n运河
kanapo|沙发
kanario|金丝雀
kancera celo|癌细胞
kancero|癌\n毒瘤
kandelingo|蜡台\n烛台
kandelo|蜡烛\n烛
kandidati|候选
kandidato|候补者\n候选人
kanguruo|大袋鼠\n袋鼠
kanino|犬牙
kanonboato|炮艇
kanoni|开炮\n炮击
kanono|大炮\n合唱\n教规\n炮
kanontubo|炮筒
kanti|唱\n歌唱
kantiko|赞美歌
kantisto|歌唱家\n歌手\n声乐家
kanto|歌曲\n曲子
kanto kaj danco|歌舞
kanvaso|画布
kanzono|歌谣
kapabla|能干\n有能力
kapablec|才干
kapableco|才能
kapabli|能够
kapablo|本领\n能力
kapacito|容量
kapdoloro|头痛
kapitalismo|资本主义
kapitalisto|资本家
kapitalo|本钱\n资本
kapitano|船长\n舰长\n上尉
kapitulaci|投诚\n投降
kapjesi|点头
kapkuseno|枕头
kapo|头\n头脑
kapogardisto|保镖
kapoko|木棉
kaprici|反复无常
kaprido|羊羔
kaprimenoj|辔
kapro|山羊\n羊
kapsigni|点头
kapsiko|辣椒
kapstacio|始发站
kapstano|绞盘
kaptema|贪婪
kapti|把握\n捕获\n捕捉\n夺\n夺取\n攻克\n擒\n抓住\n捉住
kapti iun viva|生擒
kaptilo|圈套\n陷阱
kapturnighi pro sukceso|得意忘形
kapturno|昏眩\n头昏\n头晕\n眩晕
kapumpa|难解
kara|昂贵\n宝贵\n贵\n亲爱\n心爱\n值钱
karakterizajho|特点\n特征
karaktero|品格\n特性\n性格\n性质\n性子
karbo|煤
karbodesegnajho|炭画
karbokampo|煤田
karbominejo|煤矿
karbopolvo|煤灰
karboskorio|煤渣
karbostako|煤堆
karcero|班房\n监狱\n牢房\n囚室
kardinalo|红衣主教
kardiogramo|心电图
kardiotoniko|强心剂
karesi|宠爱\n抚摸
kargoshipo|货船
karieristo|野心家
kariero|履历\n生涯\n事业
kariertabelo|履历表
karikaturo|漫画
karmemori|怀念
karnavalo|狂欢
karno|果肉\n肉
karoto|胡萝卜
karpo|鲤鱼
kartaro|扑克
karto|地图\n卡片\n纸牌
kartochfilmo|胶卷
kartoco|弹药筒
kartono|马粪纸\n纸板
karulo|亲人
karverno|岩穴
kasejo|帐房
kaseto|暗盒
kasha|秘密
kashe|暗地里\n偷偷地
kashe mortigi|暗害\n暗杀
kashi|藏\n躲避\n瞒\n掩藏\n掩饰\n隐瞒\n遮掩
kashighi|隐藏\n隐伏
kashighi(sin kashi)|藏身
kashita danghero|隐患
kashludo|捉迷藏
kashnomo|假名
kashobservi|侦察
kashpolicano|秘密警察
kashpolicisto|便衣
kashrigardi|窥视
kashtano|板栗\n栗子
kasisto|出纳员
kaskado|瀑布
kasko|钢盔\n盔
kaso|金库\n钱柜
kastelo|城堡\n楼阁
kastoro|海狸
kastri|阉割
katalogo|目录\n书目
katarakto|白内障
katastrofo|浩劫\n灾祸
katedralo|教堂
kategorio|范畴\n类别
kateni|束缚
kateno|咖锁\n脚镣\n锁链
kato|猫
katodo|阴极
katolikismo|天主教
kattoliko|天主教徒
kauzo|根源
kavaleriano|骑兵
kavalerio|骑兵队
kavaliro|爵士\n骑士
kavernhomo|穴居人
kaverno|洞穴\n穴\n岩洞\n窑洞
kavernodomo|窑洞
kavernulo|穴居人
kavighi|凹陷
kavo|孔\n穴
kawchuka shuo|胶鞋
kawchuko|树胶\n橡胶
kawcio|保证金
kawpokso|牛痘
kawri|蹲
kawstika sodo|火碱\n烧碱
kawze de|因为\n由于
kawzeco|因果关系
kawzi|导致\n引起\n造成\n招致
kawzo|理由\n起因\n因由\n原因\n缘故
kazerno|兵营\n军营
kazo|案件\n场合\n格
keletagho|地下室
kelkaj|几个
kelkarcero|地牢
kelnero|服务员\n跑堂儿\n侍者
kelo|地窖
kemia analizo (ekzameno)|化验
kemia armilo|化学武器
kemia fibro|化纤
kemia industrio|化学工业
kemia sterko|化肥
kemio (hhemio)|化学
kerna punkto|要害
kerno|核仁\n核心\n中坚
keroseno|灯油\n火油\n煤油
kesto|盒子\n匣\n箱子
kia|哪样
kial|为什么\n因由
kialo|根源\n理由\n原因\n缘故
kiam|几时\n哪会儿
kiamaniere|怎样
kie|哪儿
kiel|如何\n怎样
